Code;Title;Domain;Deadline;ItemCount
LO_G2.HG1;kan de telrij (akoestisch) opzeggen tot en met tenminste 20;Verbanden;31-12-2019;10
LO_G2.HG2;kan vanuit elk getal tot 20 verder tellen en kan vanuit elk getal onder 10 terugtellen;Verbanden;31-12-2019;11
LO_G3.HG1;kan de telrij opzeggen tot en met tenminste 100 en kan vanuit elk getal onder 100 verder tellen en terugtellen;Verbanden;31-12-2019;12
LO_G4.HG1;doorziet de tientallige structuur van de telrij tot en met 100 en kan deze uitleggen;Verbanden;31-12-2019;13
LO_G5.HG1;kan de telrij tot en met tenminste 1000 opzeggen en vanuit elk getal verder tellen en terugtellen;Verbanden;31-12-2019;14
LO_VB3.4;kan kritisch denken en redeneren over gegevens in tabellen en grafieken;Getallen;31-12-2019;10
LO_VB4.2;kan gegevens uit een telling geordend verwerken via turven;Getallen;31-12-2019;11
LO_VB4.3;kan bij gegevens in een tabel een voorgestructureerde staafgrafiek invullen;Getallen;31-12-2019;12
LO_VB5.3;kan ongeordende gegevens in een eenvoudige tabel verwerken;Getallen;31-12-2019;13
LO_VB5.4;weet wat een legenda is en kan een legenda gebruiken bij het interpreteren van gegevens.;Getallen;31-12-2019;14
LO_VH6.VH5;kan verhoudingsproblemen met geld, tijd en maten oplossen.;Verhoudingen;31-12-2019;10
LO_VH7.PR3;kan in betekenisvolle contexten rekenen met eenvoudig percentages, hoeveelheden en getallen.;Verhoudingen;31-12-2019;11
LO_VH7.VH1;kan reeksen van gelijkwaardige breuken maken.;Verhoudingen;31-12-2019;12
LO_VH7.VH3;kan verhoudingsproblemen oplossen in contexten waarin de verhoudingsrelatie niet direct te leggen is.;Verhoudingen;31-12-2019;13
LO_VH8.VH2;kan rekenen met schaallijnen en schaalnotaties.;Verhoudingen;31-12-2019;14
